KO	Gene_identification	A	B	C	D
K02603	ORC1; origin recognition complex subunit 1	Structural complex	Genetic information processing	Replication system	Origin recognition complex
K05657	ABCB10; ATP-binding cassette, subfamily B (MDR/TAP), member 10	NA	NA	NA	NA
K10256	FAD2; omega-6 fatty acid desaturase / acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.6 1.14.19.22]	NA	NA	NA	NA
K17262	TBCB, CKAP1, ALF1; tubulin-folding cofactor B	NA	NA	NA	NA
K18055	HIF1AN; hypoxia-inducible factor 1-alpha inhibitor (HIF hydroxylase) [EC:1.14.11.30]	NA	NA	NA	NA
K02956	RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15	Structural complex	Genetic information processing	Ribosome	Ribosome, bacteria
K02956	RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K12492	ARFGAP1; ADP-ribosylation factor GTPase-activating protein 1	NA	NA	NA	NA
K16055	TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]	NA	NA	NA	NA
K04498	EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]	NA	NA	NA	NA
K07767	KATNA1; katanin p60 ATPase-containing subunit A1 [EC:3.6.4.3]	NA	NA	NA	NA
K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]	Pathway module	Nucleotide and amino acid metabolism	Pyrimidine metabolism	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
K02728	PSMA4; 20S proteasome subunit alpha 3 [EC:3.4.25.1]	Structural complex	Genetic information processing	Proteasome	Proteasome, 20S core particle
K02728	PSMA4; 20S proteasome subunit alpha 3 [EC:3.4.25.1]	Structural complex	Genetic information processing	Proteasome	Immunoproteasome
K19502	ANO8, TMEM16H; anoctamin-8	NA	NA	NA	NA
K05293	PIGU; phosphatidylinositol glycan, class U	NA	NA	NA	NA
K04596	BAI1; brain-specific angiogenesis inhibitor 1	NA	NA	NA	NA
K02981	RP-S2e, RPS2; small subunit ribosomal protein S2e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	Structural complex	Energy metabolism	ATP synthesis	Cytochrome bc1 complex respiratory unit
K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	Structural complex	Energy metabolism	ATP synthesis	Cytochrome bc1 complex
K01874	MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, prokaryotes
K01874	MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, eukaryotes
K19750	DNAAF1, LRRC50, ODA7; dynein assembly factor 1, axonemal	NA	NA	NA	NA
K05850	ATP2B; Ca2+ transporting ATPase, plasma membrane [EC:3.6.3.8]	NA	NA	NA	NA
K00844	HK; hexokinase [EC:2.7.1.1]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00844	HK; hexokinase [EC:2.7.1.1]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Nucleotide sugar biosynthesis, glucose => UDP-glucose
K03061	PSMC2, RPT1; 26S proteasome regulatory subunit T1	Structural complex	Genetic information processing	Proteasome	Proteasome, 19S regulatory particle (PA700)
K02984	RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02984	RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K06115	SPTB; spectrin beta	NA	NA	NA	NA
K14328	UPF3, RENT3; regulator of nonsense transcripts 3	Structural complex	Genetic information processing	RNA processing	Exon junction complex (EJC)
K13210	FUBP; far upstream element-binding protein	NA	NA	NA	NA
K07119	K07119; uncharacterized protein	NA	NA	NA	NA
K19668	CBH2, cbhA; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]	NA	NA	NA	NA
K01081	E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]	NA	NA	NA	NA
K01225	CBH1; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]	NA	NA	NA	NA
K08334	BECN1, VPS30, ATG6; beclin 1	NA	NA	NA	NA
K08311	nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]	NA	NA	NA	NA
K00939	adk, AK; adenylate kinase [EC:2.7.4.3]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
K06942	ychF; ribosome-binding ATPase	NA	NA	NA	NA
K07376	PRKG1; cGMP-dependent protein kinase 1 [EC:2.7.11.12]	Functional set	Environmental information processing	Cell signaling	cGMP signaling
K01049	ACHE; acetylcholinesterase [EC:3.1.1.7]	NA	NA	NA	NA
K01530	E3.6.3.1; phospholipid-translocating ATPase [EC:3.6.3.1]	NA	NA	NA	NA
K17943	PUM; pumilio RNA-binding family	NA	NA	NA	NA
K17907	ATG9; autophagy-related protein 9	NA	NA	NA	NA
K01698	hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Heme biosynthesis, glutamate => protoheme/siroheme
K09584	PDIA6, TXNDC7; protein disulfide-isomerase A6 [EC:5.3.4.1]	NA	NA	NA	NA
K02877	RP-L15e, RPL15; large subunit ribosomal protein L15e	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02877	RP-L15e, RPL15; large subunit ribosomal protein L15e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K12611	DCP1B; mRNA-decapping enzyme 1B [EC:3.-.-.-]	Structural complex	Genetic information processing	RNA processing	Decapping complex
K12164	UBA5, UBE1DC1; ubiquitin-like modifier-activating enzyme 5	NA	NA	NA	NA
K04565	SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]	NA	NA	NA	NA
K17279	REEP5_6; receptor expression-enhancing protein 5/6	NA	NA	NA	NA
K00510	HMOX, hmuO, ho; heme oxygenase (biliverdin-producing) [EC:1.14.14.18]	NA	NA	NA	NA
K19673	TTC21B, IFT139; tetratricopeptide repeat protein 21B	NA	NA	NA	NA
K17424	MRPL43; large subunit ribosomal protein L43	NA	NA	NA	NA
K10357	MYO5; myosin V	NA	NA	NA	NA
K02934	RP-L6e, RPL6; large subunit ribosomal protein L6e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K08675	PRSS15, PIM1; Lon-like ATP-dependent protease [EC:3.4.21.-]	NA	NA	NA	NA
K12452	ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]	NA	NA	NA	NA
K04508	TBL1; transducin (beta)-like 1	NA	NA	NA	NA
K00967	PCYT2; ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
K18060	MTPAP; poly(A) RNA polymerase, mitochondrial [EC:2.7.7.19]	NA	NA	NA	NA
K07304	msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	NA	NA	NA	NA
K07390	grxD, GLRX5; monothiol glutaredoxin	NA	NA	NA	NA
K01940	argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]	Pathway module	Nucleotide and amino acid metabolism	Arginine and proline metabolism	Urea cycle
K02146	ATPeV0D, ATP6D; V-type H+-transporting ATPase subunit d	Structural complex	Energy metabolism	ATP synthesis	V-type ATPase, eukaryotes
K12608	CAF16; CCR4-NOT complex subunit CAF16	NA	NA	NA	NA
K17928	SNX16; sorting nexin-16	NA	NA	NA	NA
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	Pathway module	Carbohydrate and lipid metabolism	Terpenoid backbone biosynthesis	C5 isoprenoid biosynthesis, mevalonate pathway
K17681	ATAD3A_B; ATPase family AAA domain-containing protein 3A/B	NA	NA	NA	NA
K04437	FLNA; filamin	NA	NA	NA	NA
K11498	CENPE; centromeric protein E	NA	NA	NA	NA
K11585	CBX1, HP1B, SWI6; chromobox protein 1	NA	NA	NA	NA
K03953	NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9	Structural complex	Energy metabolism	ATP synthesis	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
K01312	PRSS1_2_3; trypsin [EC:3.4.21.4]	NA	NA	NA	NA
K11099	SNRPG, SMG; small nuclear ribonucleoprotein G	Structural complex	Genetic information processing	Spliceosome	Spliceosome, U1-snRNP
K11099	SNRPG, SMG; small nuclear ribonucleoprotein G	Structural complex	Genetic information processing	Spliceosome	Spliceosome, U2-snRNP
K11099	SNRPG, SMG; small nuclear ribonucleoprotein G	Structural complex	Genetic information processing	Spliceosome	Spliceosome, U4/U6.U5 tri-snRNP
K11099	SNRPG, SMG; small nuclear ribonucleoprotein G	Structural complex	Genetic information processing	Spliceosome	Spliceosome, 35S U5-snRNP
K11099	SNRPG, SMG; small nuclear ribonucleoprotein G	Structural complex	Genetic information processing	Spliceosome	Sm core complex
K13821	putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]	NA	NA	NA	NA
K11338	RUVBL2, RVB2, INO80J; RuvB-like protein 2 [EC:3.6.4.12]	NA	NA	NA	NA
K00815	TAT; tyrosine aminotransferase [EC:2.6.1.5]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Methionine salvage pathway
K00815	TAT; tyrosine aminotransferase [EC:2.6.1.5]	Pathway module	Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	Tyrosine biosynthesis, chorismate => tyrosine
K00643	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	NA	NA	NA	NA
K00213	DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]	Pathway module	Carbohydrate and lipid metabolism	Sterol biosynthesis	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	Pathway module	Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	Pathway module	Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Pathway module	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle (Calvin cycle)
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Pathway module	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis, core module involving three-carbon compounds
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Gluconeogenesis, oxaloacetate => fructose-6P
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
K16777	NEURL4; neuralized-like protein 4	NA	NA	NA	NA
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	Pathway module	Energy metabolism	Methane metabolism	Formaldehyde assimilation, serine pathway
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Photorespiration
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	C1-unit interconversion, prokaryotes
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	C1-unit interconversion, eukaryotes
K11981	RNF41, NRDP1; E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]	NA	NA	NA	NA
K02599	NOTCH1; Notch 1	Functional set	Environmental information processing	Cell signaling	Notch signaling
K12829	SF3B2, SAP145, CUS1; splicing factor 3B subunit 2	Structural complex	Genetic information processing	Spliceosome	Spliceosome, U2-snRNP
K16750	BLOC1S2; biogenesis of lysosome-related organelles complex 1 subunit 2	NA	NA	NA	NA
K10590	TRIP12; E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26]	NA	NA	NA	NA
K01869	LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, prokaryotes
K01869	LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, eukaryotes
K03564	BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]	NA	NA	NA	NA
K17338	REEP1_2_3_4; receptor expression-enhancing protein 1/2/3/4	NA	NA	NA	NA
K19681	IFT52; intraflagellar transport protein 52	NA	NA	NA	NA
K19676	IFT172; intraflagellar transport protein 172	NA	NA	NA	NA
K05849	SLC8A, NCX; solute carrier family 8 (sodium/calcium exchanger)	NA	NA	NA	NA
K10579	UBE2M, UBC12; ubiquitin-conjugating enzyme E2 M	NA	NA	NA	NA
K15109	SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29	NA	NA	NA	NA
K02145	ATPeV1A, ATP6A; V-type H+-transporting ATPase subunit A [EC:3.6.3.14]	Structural complex	Energy metabolism	ATP synthesis	V-type ATPase, eukaryotes
K19882	NOTUM; O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]	NA	NA	NA	NA
K13289	CTSA, CPY; cathepsin A (carboxypeptidase C) [EC:3.4.16.5]	NA	NA	NA	NA
K09186	MLL1; histone-lysine N-methyltransferase MLL1 [EC:2.1.1.43]	NA	NA	NA	NA
K01201	GBA, srfJ; glucosylceramidase [EC:3.2.1.45]	NA	NA	NA	NA
K14857	SPB1, FTSJ3; AdoMet-dependent rRNA methyltransferase SPB1 [EC:2.1.1.-]	NA	NA	NA	NA
K01507	ppa; inorganic pyrophosphatase [EC:3.6.1.1]	NA	NA	NA	NA
K10808	RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]	Pathway module	Nucleotide and amino acid metabolism	Pyrimidine metabolism	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
K08592	SENP1; sentrin-specific protease 1 [EC:3.4.22.68]	NA	NA	NA	NA
K09140	TSR3; pre-rRNA-processing protein TSR3	NA	NA	NA	NA
K03703	uvrC; excinuclease ABC subunit C	NA	NA	NA	NA
K11279	NAP1L1, NRP; nucleosome assembly protein 1-like 1	NA	NA	NA	NA
K06675	SMC4; structural maintenance of chromosome 4	NA	NA	NA	NA
K10444	KLHL6; kelch-like protein 6	NA	NA	NA	NA
K11804	WDR42A; WD repeat-containing protein 42A	NA	NA	NA	NA
K01702	LEU1; 3-isopropylmalate dehydratase [EC:4.2.1.33]	Pathway module	Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
K00863	DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]	Pathway module	Energy metabolism	Methane metabolism	Formaldehyde assimilation, xylulose monophosphate pathway
K09420	MYB; myb proto-oncogene protein	NA	NA	NA	NA
K06252	TN; tenascin	NA	NA	NA	NA
K08766	CPT2; carnitine O-palmitoyltransferase 2 [EC:2.3.1.21]	NA	NA	NA	NA
K09510	DNAJB4; DnaJ homolog subfamily B member 4	NA	NA	NA	NA
K15595	CDK17, PCTK2; cyclin-dependent kinase 17 [EC:2.7.11.22]	NA	NA	NA	NA
K02716	psbO; photosystem II oxygen-evolving enhancer protein 1	NA	NA	NA	NA
K03131	TAF6; transcription initiation factor TFIID subunit 6	NA	NA	NA	NA
K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Methionine biosynthesis, apartate => homoserine => methionine
K01875	SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, prokaryotes
K01875	SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, eukaryotes
K16603	TTLL9; tubulin polyglutamylase TTLL9 [EC:6.-.-.-]	NA	NA	NA	NA
K15030	EIF3M; translation initiation factor 3 subunit M	NA	NA	NA	NA
K04739	PRKAR; cAMP-dependent protein kinase regulator	NA	NA	NA	NA
K01382	CTSE; cathepsin E [EC:3.4.23.34]	NA	NA	NA	NA
K13523	AGPAT3_4; lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase [EC:2.3.1.51 2.3.1.-]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Triacylglycerol biosynthesis
K10686	UBE1C, UBA3; ubiquitin-activating enzyme E1 C [EC:6.2.1.45]	NA	NA	NA	NA
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Photorespiration
K09391	E2F7_8; transcription factor E2F7/8	NA	NA	NA	NA
K03671	trxA; thioredoxin 1	NA	NA	NA	NA
K01517	ADPRM; manganese-dependent ADP-ribose/CDP-alcohol diphosphatase [EC:3.6.1.13 3.6.1.16 3.6.1.53]	NA	NA	NA	NA
K04371	MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]	Functional set	Environmental information processing	Cell signaling	MAPK (ERK1/2) signaling
K02726	PSMA2; 20S proteasome subunit alpha 2 [EC:3.4.25.1]	Structural complex	Genetic information processing	Proteasome	Proteasome, 20S core particle
K02726	PSMA2; 20S proteasome subunit alpha 2 [EC:3.4.25.1]	Structural complex	Genetic information processing	Proteasome	Immunoproteasome
K08798	MARK; MAP/microtubule affinity-regulating kinase [EC:2.7.11.1]	NA	NA	NA	NA
K10388	PLEC; plectin	NA	NA	NA	NA
K03357	APC10, DOC1; anaphase-promoting complex subunit 10	Structural complex	Genetic information processing	Ubiquitin system	APC/C complex
K10108	malE; maltose/maltodextrin transport system substrate-binding protein	Structural complex	Environmental information processing	Saccharide, polyol, and lipid transport system	Maltose/maltodextrin transport system
K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]	NA	NA	NA	NA
K00765	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]	Pathway module	Nucleotide and amino acid metabolism	Histidine metabolism	Histidine biosynthesis, PRPP => histidine
K08838	STK24_25_MST4; serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]	NA	NA	NA	NA
K00791	miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]	NA	NA	NA	NA
K05865	TNNC1; troponin C, slow skeletal and cardiac muscles	NA	NA	NA	NA
K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	Pathway module	Carbohydrate and lipid metabolism	Fatty acid metabolism	Fatty acid biosynthesis, elongation
K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
K18447	NUDX14; ADP-sugar diphosphatase [EC:3.6.1.21]	NA	NA	NA	NA
K17609	NXN; nucleoredoxin [EC:1.8.1.8]	NA	NA	NA	NA
K13717	OTUD3; OTU domain-containing protein 3 [EC:3.4.19.12]	NA	NA	NA	NA
K02900	RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K13806	DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.-]	NA	NA	NA	NA
K02943	RP-LP2, RPLP2; large subunit ribosomal protein LP2	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis, core module involving three-carbon compounds
K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Gluconeogenesis, oxaloacetate => fructose-6P
K02183	CALM; calmodulin	NA	NA	NA	NA
K02449	CDK10; cyclin-dependent kinase 10 [EC:2.7.11.22]	NA	NA	NA	NA
K13412	CPK; calcium-dependent protein kinase [EC:2.7.11.1]	NA	NA	NA	NA
K00831	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	Pathway module	Nucleotide and amino acid metabolism	Serine and threonine metabolism	Serine biosynthesis, glycerate-3P => serine
K00831	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P
K09580	PDIA1, P4HB; protein disulfide-isomerase A1 [EC:5.3.4.1]	NA	NA	NA	NA
K12840	RBM17, SPF45; splicing factor 45	NA	NA	NA	NA
K01881	PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, prokaryotes
K01881	PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, eukaryotes
K05658	ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:3.6.3.44]	NA	NA	NA	NA
K02941	RP-LP0, RPLP0; large subunit ribosomal protein LP0	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K02922	RP-L37e, RPL37; large subunit ribosomal protein L37e	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02922	RP-L37e, RPL37; large subunit ribosomal protein L37e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K02212	MCM4, CDC54; DNA replication licensing factor MCM4 [EC:3.6.4.12]	Structural complex	Genetic information processing	Replication system	MCM complex
K17263	CAND1; cullin-associated NEDD8-dissociated protein 1	NA	NA	NA	NA
K03456	PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A	NA	NA	NA	NA
K08915	LHCB4; light-harvesting complex II chlorophyll a/b binding protein 4	NA	NA	NA	NA
K17495	CSMD; CUB and sushi domain-containing protein	NA	NA	NA	NA
K12823	DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13]	NA	NA	NA	NA
K02893	RP-L23Ae, RPL23A; large subunit ribosomal protein L23Ae	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K04794	PTH2; peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]	NA	NA	NA	NA
K01669	phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	NA	NA	NA	NA
K12811	DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]	NA	NA	NA	NA
K00670	NAA30, MAK3; N-alpha-acetyltransferase 30 [EC:2.3.1.256]	NA	NA	NA	NA
K06491	NCAM, CD56; neural cell adhesion molecule	NA	NA	NA	NA
K05869	CAMK4; calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17]	NA	NA	NA	NA
K03869	CUL3; cullin 3	Structural complex	Genetic information processing	Ubiquitin system	Cul3-SPOP complex
