Target	Target_2	Category	KO	GeneID	Full_GeneName	Phagotrophy_annotation	Notes	
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K11532	glpX-SEBP	"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase "			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K04041	fbp3	"fructose-1,6-bisphosphatase III "			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K01623	ALDO	"fructose-bisphosphate aldolase, class I "			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K11645	fbaB	"fructose-bisphosphate aldolase, class I "			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K01624	"FBA, fbaA"	"fructose-bisphosphate aldolase, class II "			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K00134	"GAPDH, gapA"	glyceraldehyde 3-phosphate dehydrogenase 			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) 			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K01610	pckA	phosphoenolpyruvate carboxykinase (ATP) 			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K01596	"pckA, PCK"	phosphoenolpyruvate carboxykinase (GTP) 			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K00927	"PGK, pgk"	phosphoglycerate kinase 			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K15634	gpmB	probable phosphoglycerate mutase 			
C metabolism	Gluconeogenesis-Glycolysis	Gluconeogenesis	K01803	"TPI, tpiA"	triosephosphate isomerase (TIM) 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K01834	"PGAM, gpmA"	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase "			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K15633	gpmI	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase "			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K15635	apgM	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase "			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K00850	"pfkA, PFK"	6-phosphofructokinase 1 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K16370	pfkB	6-phosphofructokinase 2 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K08074	ADPGK	ADP-dependent glucokinase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K01689	"ENO, eno"	enolase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K16306	fbp aldolase	"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase "			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K01623	ALDO	"fructose-bisphosphate aldolase, class I "			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K11645	fbaB	"fructose-bisphosphate aldolase, class I "			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K01624	"FBA, fbaA"	"fructose-bisphosphate aldolase, class II "			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K00845	glk	glucokinase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K12407	GCK	glucokinase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K01810	"GPI, pgi"	glucose-6-phosphate isomerase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K00134	"GAPDH, gapA"	glyceraldehyde 3-phosphate dehydrogenase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K00844	HK	hexokinase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K00927	"PGK, pgk"	phosphoglycerate kinase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K00886	ppgK	polyphosphate glucokinase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K15634	gpmB	probable phosphoglycerate mutase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K00873	"PK, pyk"	pyruvate kinase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K12406	PKLR	pyruvate kinase isozymes R/L 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K13810	tal-pgi	transaldolase / glucose-6-phosphate isomerase 			
C metabolism	Gluconeogenesis-Glycolysis	Glycolysis	K01803	"TPI, tpiA"	triosephosphate isomerase (TIM) 			
C metabolism	other	por	K03737	"por, nifJ"	pyruvate-ferredoxin/flavodoxin oxidoreductase			
Energy Acquisition	Glyoxylate cycle	Glyoxylate cycle	K01681	"ACO, acnA"	aconitate hydratase 			
Energy Acquisition	Glyoxylate cycle	Glyoxylate cycle	K01682	acnB	aconitate hydratase 2 / 2-methylisocitrate dehydratase 			
Energy Acquisition	Glyoxylate cycle	Glyoxylate cycle	K01647	"CS, gltA"	citrate synthase 			
Energy Acquisition	Glyoxylate cycle	Glyoxylate cycle	K01637	aceA	isocitrate lyase 			
Energy Acquisition	Glyoxylate cycle	Glyoxylate cycle	K00024	mdh	malate dehydrogenase 			
Energy Acquisition	Glyoxylate cycle	Glyoxylate cycle	K00025	MDH1	malate dehydrogenase 			
Energy Acquisition	Glyoxylate cycle	Glyoxylate cycle	K00026	MDH2	malate dehydrogenase 			
Energy Acquisition	Glyoxylate cycle	Glyoxylate cycle	K01638	"aceB, glcB"	malate synthase 			
Energy Acquisition	Photosynthesis	Photosynthesis	K02689	psaA	photosystem I P700 chlorophyll a apoprotein A1			
Energy Acquisition	Photosynthesis	Photosynthesis	K02690	psaB	photosystem I P700 chlorophyll a apoprotein A2			
Energy Acquisition	Photosynthesis	Photosynthesis	K02692	psaD	photosystem I subunit II			
Energy Acquisition	Photosynthesis	Photosynthesis	K02694	psaF	photosystem I subunit III			
Energy Acquisition	Photosynthesis	Photosynthesis	K02693	psaE	photosystem I subunit IV			
Energy Acquisition	Photosynthesis	Photosynthesis	K02691	psaC	photosystem I subunit VII			
Energy Acquisition	Photosynthesis	Photosynthesis	K02705	psbC	photosystem II CP43 chlorophyll apoprotein			
Energy Acquisition	Photosynthesis	Photosynthesis	K02704	psbB	photosystem II CP47 chlorophyll apoprotein			
Energy Acquisition	Photosynthesis	Photosynthesis	K02708	psbF	photosystem II cytochrome b559 subunit beta			
Energy Acquisition	Photosynthesis	Photosynthesis	K02703	psbA	photosystem II P680 reaction center D1 protein 			
Energy Acquisition	Photosynthesis	Photosynthesis	K02706	psbD	photosystem II P680 reaction center D2 protein 			
Energy Acquisition	TCA cycle	TCA cycle	K00164	"OGDH, sucA"	2-oxoglutarate dehydrogenase E1 component 			
Energy Acquisition	TCA cycle	TCA cycle	K00658	"DLST, sucB"	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) 			
Energy Acquisition	TCA cycle	TCA cycle	K00174	"korA, oorA, oforA"	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha 			
Energy Acquisition	TCA cycle	TCA cycle	K00175	"korB, oorB, oforB"	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta 			
Energy Acquisition	TCA cycle	TCA cycle	K01681	"ACO, acnA"	aconitate hydratase 			
Energy Acquisition	TCA cycle	TCA cycle	K01682	acnB	aconitate hydratase 2 / 2-methylisocitrate dehydratase 			
Energy Acquisition	TCA cycle	TCA cycle	K01647	"CS, gltA"	citrate synthase 			
Energy Acquisition	TCA cycle	TCA cycle	K00382	"DLD, lpd, pdhD"	dihydrolipoamide dehydrogenase 			
Energy Acquisition	TCA cycle	TCA cycle	K01677	fumA	fumarate hydratase subunit alpha 			
Energy Acquisition	TCA cycle	TCA cycle	K01676	"fumA, fumB"	"fumarate hydratase, class I "			
Energy Acquisition	TCA cycle	TCA cycle	K01679	fumC	"fumarate hydratase, class II "			
Energy Acquisition	TCA cycle	TCA cycle	K00244	frdA	fumarate reductase flavoprotein subunit 			
Energy Acquisition	TCA cycle	TCA cycle	K00245	frdB	fumarate reductase iron-sulfur subunit 			
Energy Acquisition	TCA cycle	TCA cycle	K00247	frdD	fumarate reductase subunit D			
Energy Acquisition	TCA cycle	TCA cycle	K00031	"IDH1, IDH2, icd"	isocitrate dehydrogenase 			
Energy Acquisition	TCA cycle	TCA cycle	K00030	IDH3	isocitrate dehydrogenase (NAD+) 			
Energy Acquisition	TCA cycle	TCA cycle	K00024	mdh	malate dehydrogenase 			
Energy Acquisition	TCA cycle	TCA cycle	K00025	MDH1	malate dehydrogenase 			
Energy Acquisition	TCA cycle	TCA cycle	K00026	MDH2	malate dehydrogenase 			
Energy Acquisition	TCA cycle	TCA cycle	K00116	mqo	malate dehydrogenase (quinone) 			
Energy Acquisition	TCA cycle	TCA cycle	K00236	"SDHC, SDH3"	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit			
Energy Acquisition	TCA cycle	TCA cycle	K00234	"SDHA, SDH1"	succinate dehydrogenase (ubiquinone) flavoprotein subunit 			
Energy Acquisition	TCA cycle	TCA cycle	K00235	"SDHB, SDH2"	succinate dehydrogenase (ubiquinone) iron-sulfur subunit 			
Energy Acquisition	TCA cycle	TCA cycle	K00237	"SDHD, SDH4"	succinate dehydrogenase (ubiquinone) membrane anchor subunit			
Energy Acquisition	TCA cycle	TCA cycle	K00241	"sdhC, frdC"	"succinate dehydrogenase / fumarate reductase, cytochrome b subunit"			
Energy Acquisition	TCA cycle	TCA cycle	K00239	"sdhA, frdA"	"succinate dehydrogenase / fumarate reductase, flavoprotein subunit "			
Energy Acquisition	TCA cycle	TCA cycle	K00240	"sdhB, frdB"	"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit "			
Energy Acquisition	TCA cycle	TCA cycle	K00242	"sdhD, frdD"	"succinate dehydrogenase / fumarate reductase, membrane anchor subunit"			
Energy Acquisition	TCA cycle	TCA cycle	K01899	LSC1	succinyl-CoA synthetase alpha subunit 			
Energy Acquisition	TCA cycle	TCA cycle	K01902	sucD	succinyl-CoA synthetase alpha subunit 			
Energy Acquisition	TCA cycle	TCA cycle	K01900	LSC2	succinyl-CoA synthetase beta subunit 			
Energy Acquisition	TCA cycle	TCA cycle	K01903	sucC	succinyl-CoA synthetase beta subunit 			
Nutrient processing	AMT	AMT	K03320	"amt, AMT, MEP"	"ammonium transporter, Amt family"			
Nutrient processing	GS/GOGAT	GS/GOGAT	K00262	gdhA	glutamate dehydrogenase (NADP+) 			
Nutrient processing	GS/GOGAT	GS/GOGAT	K00284	GLT(ferredoxin)	glutamate synthase (ferredoxin) 			
Nutrient processing	GS/GOGAT	GS/GOGAT	K00264	GLT1	glutamate synthase (NADPH/NADH) 			
Nutrient processing	GS/GOGAT	GS/GOGAT	K01425	"glsA, GLS"	glutaminase 			
Nutrient processing	GS/GOGAT	GS/GOGAT	K01915	"glnA, GLUL"	glutamine synthetase 			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K03320	"amt, AMT, MEP"	"ammonium transporter, Amt family"			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K00326	cytochrome-b5 reductase	cytochrome-b5 reductase			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K00284	GLT(ferredoxin)	glutamate synthase (ferredoxin)			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K00264	GLT1	glutamate synthase (NADPH/NADH)			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K01915	"glnA, GLUL"	glutamine synthetase			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K01915	"glnA, GLUL"	glutamine synthetase 			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K00508	linoleoyl-CoA desaturase	linoleoyl-CoA desaturase			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K01285	PRCP	lysosomal Pro-X carboxypeptidase			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K02575	"NRT, narK, nrtP, nasA"	"MFS transporter, NNP family, nitrate/nitrite transporter"			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K10534	NR	nitrate reductase (NAD(P)H)			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K13076	SLD	sphingolipid 8-(E)-desaturase			
Nutrient processing	Inorganic N uptake and assimilation	Inorganic N uptake and assimilation	K00387	SUOX	sulfite oxidase			
Nutrient processing	Nitrate reduction (assimilatory)	Nitrate reduction (assimilatory)	K00372	nasA	assimilatory nitrate reductase catalytic subunit 			
Nutrient processing	Nitrate reduction (assimilatory)	Nitrate reduction (assimilatory)	K00366	nirA	ferredoxin-nitrite reductase 			
Nutrient processing	Nitrate reduction (assimilatory)	Nitrate reduction (assimilatory)	K10534	NR	nitrate reductase (NAD(P)H) 			
Nutrient processing	Nitrate reduction (assimilatory)	Nitrate reduction (assimilatory)	K17877	NIT-6	nitrite reductase (NAD(P)H) 			
Nutrient processing	NRT	NRT	K02575	"NRT, narK, nrtP, nasA"	"MFS transporter, NNP family, nitrate/nitrite transporter"			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K01755	"argH, ASL"	argininosuccinate lyase			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K01940	"argG, ASS1"	argininosuccinate synthase			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K00609	"pyrB, PYR2"	aspartate carbamoyltransferase catalytic subunit			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K01948	CPS1	carbamoyl-phosphate synthase (ammonia)			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K11540	CAD	carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K01955	"carB, CPA2"	carbamoyl-phosphate synthase large subunit			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K01679	fumC	"fumarate hydratase, class II"			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K00611	"OTC, argF, argI"	ornithine carbamoyltransferase			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K01427	URE	urease			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K03189	ureG	urease accessory protein			
Nutrient processing	Organic N uptake and assimilation	Organic N uptake and assimilation	K03190	"ureD, ureH"	urease accessory protein			
Nutrient processing	P metabolism	P metabolism	K01081	5-nucleotidase	5-nucleotidase			
Nutrient processing	P metabolism	P metabolism	K01113	phoD	alkaline phosphatase D			
Nutrient processing	P metabolism	P metabolism	K06653	PHO81	CDK inhibitor PHO81			
Nutrient processing	P metabolism	P metabolism	K16275	"BAH, NLA"	E3 ubiquitin-protein ligase BAH			
Nutrient processing	P metabolism	P metabolism	K18696	GDE1	glycerophosphodiester phosphodiesterase			
Nutrient processing	P metabolism	P metabolism	K14430	PHO87_91	phosphate transporter			
Nutrient processing	P metabolism	P metabolism	K00948	"PRPS, prsA"	ribose-phosphate pyrophosphokinase			
Nutrient processing	P metabolism	P metabolism	K14379	ACP5	tartrate-resistant acid phosphatase type 5			
Nutrient processing	PDH	PDH	K00161	"PDHA, pdhA"	pyruvate dehydrogenase E1 component alpha subunit 			
Nutrient processing	PDH	PDH	K00162	"PDHB, pdhB"	pyruvate dehydrogenase E1 component beta subunit 			
Nutrient processing	Urea cycle	Urea cycle	K01476	"rocF, arg"	arginase 			
Nutrient processing	Urea cycle	Urea cycle	K01755	"argH, ASL"	argininosuccinate lyase 			
Nutrient processing	Urea cycle	Urea cycle	K01940	"argG, ASS1"	argininosuccinate synthase 			
Nutrient processing	Urea cycle	Urea cycle	K01948	CPS1	carbamoyl-phosphate synthase (ammonia) 			
Nutrient processing	Urea cycle	Urea cycle	K00611	"OTC, argF, argI"	ornithine carbamoyltransferase 			
Phagotrophy	Actin polymerization	Actin polymerization	K18470	"ARHGAP1, CDC42GAP"	Rho GTPase-activating protein 1	Rho GTPase	"May & Machesky 2001, Lai et al. 2008, Flannagan et al. 2012"	
Phagotrophy	Actin polymerization	Actin polymerization	K13736	ARHGAP10	Rho GTPase-activating protein 10	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20635	ARHGAP11	Rho GTPase-activating protein 11	Rho GTPase	Castellano et al. 2001; Flannagan et al. 2012	
Phagotrophy	Actin polymerization	Actin polymerization	K20636	ARHGAP12_27	Rho GTPase-activating protein 12/27	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20637	ARHGAP15	Rho GTPase-activating protein 15	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20638	"ARHGAP17, RICH1"	Rho GTPase-activating protein 17	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20639	ARHGAP18_28_40	Rho GTPase-activating protein 18/28/40	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20641	ARHGAP20	Rho GTPase-activating protein 20	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20315	ARHGAP21_23	Rho GTPase-activating protein 21/23	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20642	ARHGAP22_24_25	Rho GTPase-activating protein 22/24/25	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20071	"ARHGAP26, GRAF"	Rho GTPase-activating protein 26	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20644	ARHGAP29_45	Rho GTPase-activating protein 29/45	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20647	ARHGAP32	Rho GTPase-activating protein 32	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K05732	"ARHGAP35, GRLF1"	glucocorticoid receptor DNA-binding factor 1	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20649	ARHGAP39	Rho GTPase-activating protein 39	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20122	ARHGAP4	Rho GTPase-activating protein 4	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20651	"ARHGAP42, GRAF3"	Rho GTPase-activating protein 42	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K21067	"ARHGAP44, RICH2"	Rho GTPase-activating protein 44	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K13709	ARHGAP5	Rho GTPase-activating protein 5	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20631	ARHGAP6	Rho GTPase-activating protein 6	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20633	"ARHGAP8, BPGAP1"	Rho GTPase-activating protein 8	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K20634	ARHGAP9	Rho GTPase-activating protein 9	Rho GTPase	Niedergang and Grinstein 2018	
Phagotrophy	Actin polymerization	Actin polymerization	K11652	ACTL6B	actin-like protein 6B	Actin-related		
Phagotrophy	Actin polymerization	Actin polymerization	K16576	"ACTR10, ARP11"	actin-related protein 10	Actin-related		
Phagotrophy	Actin polymerization	Actin polymerization	K11672	"ACTR5, ARP5, INO80M"	actin-related protein 5	Actin-related		
Phagotrophy	Actin polymerization	Actin polymerization	K05757	ARPC1A_B	"actin related protein 2/3 complex, subunit 1A/1B"	Arp2/3 complex	Yutin et al. 2009; Goley & Welch 2006	May & Machesky 2001; Lai et al. 2008
Phagotrophy	Actin polymerization	Actin polymerization	K05758	ARPC2	"actin related protein 2/3 complex, subunit 2"	Arp2/3 complex	Yutin et al. 2009; Goley & Welch 2006	May & Machesky 2001; Lai et al. 2009
Phagotrophy	Actin polymerization	Actin polymerization	K05756	ARPC3	"actin related protein 2/3 complex, subunit 3"	Arp2/3 complex	Yutin et al. 2009; Goley & Welch 2006	May & Machesky 2001; Lai et al. 2010
Phagotrophy	Actin polymerization	Actin polymerization	K05755	ARPC4	"actin related protein 2/3 complex, subunit 4"	Arp2/3 complex	Yutin et al. 2009; Goley & Welch 2006	May & Machesky 2001; Lai et al. 2011
Phagotrophy	Actin polymerization	Actin polymerization	K05754	ARPC5	"actin related protein 2/3 complex, subunit 5"	Arp2/3 complex	Yutin et al. 2009; Goley & Welch 2006	May & Machesky 2001; Lai et al. 2012
Phagotrophy	Actin polymerization	Actin polymerization	K17260	"ACTR2, ARP2"	actin-related protein 2	Arp2/3 complex	Yutin et al. 2009; Goley & Welch 2006	May & Machesky 2001; Lai et al. 2013
Phagotrophy	Actin polymerization	Actin polymerization	K18584	"ACTR3, ARP3"	actin-related protein 3	Arp2/3 complex	Yutin et al. 2009; Goley & Welch 2006	May & Machesky 2001; Lai et al. 2014
Phagotrophy	Actin polymerization	Actin polymerization	K05747	WAS	Wiskott-Aldrich syndrome protein	WASP / WAVE	Yutin et al. 2009; Goley & Welch 2006	
Phagotrophy	Actin polymerization	Actin polymerization	K23612	WASL	neural Wiskott-Aldrich syndrome protein	WASP / WAVE	Yutin et al. 2009; Goley & Welch 2006	
Phagotrophy	Actin polymerization	Actin polymerization	K05753	WASF1	"WAS protein family, member 1"	WASP / WAVE	Yutin et al. 2009; Goley & Welch 2006	
Phagotrophy	Actin polymerization	Actin polymerization	K05748	WASF2	"WAS protein family, member 2"	WASP / WAVE	Yutin et al. 2009; Goley & Welch 2006	
Phagotrophy	Actin polymerization	Actin polymerization	K06083	WASF3	"WAS protein family, member 3"	WASP / WAVE	Yutin et al. 2009; Goley & Welch 2006	
Phagotrophy	Actin polymerization	Actin polymerization	K11662	"ACTR6, ARP6"	actin-related protein 6	Actin-related		
Phagotrophy	Actin polymerization	Actin polymerization	K11673	"ACTR8, ARP8, INO80N"	actin-related protein 8	Actin-related		
Phagotrophy	Actin polymerization	Actin polymerization	K10355	ACTF	"actin, other eukaryote"	Actin-related		
Phagotrophy	Actin polymerization	Actin polymerization	K20048	END3	actin cytoskeleton-regulatory complex protein END3	Actin-related		
Phagotrophy	Lysosome associated	Lysosome binding and processing	K13289	"CTSA, CPY"	cathepsin A (carboxypeptidase C) [EC:3.4.16.5]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01363	CTSB	cathepsin B [EC:3.4.22.1]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01275	CTSC	cathepsin C [EC:3.4.14.1]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01379	CTSD	cathepsin D [EC:3.4.23.5]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01382	CTSE	cathepsin E [EC:3.4.23.34]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01373	CTSF	cathepsin F [EC:3.4.22.41]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01319	CTSG	cathepsin G [EC:3.4.21.20]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01366	CTSH	cathepsin H [EC:3.4.22.16]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01371	CTSK	cathepsin K [EC:3.4.22.38]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01365	CTSL	cathepsin L [EC:3.4.22.15]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01374	CTSO	cathepsin O [EC:3.4.22.42]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01368	CTSS	cathepsin S [EC:3.4.22.27]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
